name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence
"Vanity Lights Bryant 40 1/2"" wide 5-light & Blubs",#062E6,,,"Vanity Lights Bryant 40 1/2"" wide 5-light & Blubs",Lighting,ea,,,,,374.11,https://www.lampsplus.com/p/bryant-40-and-one-half-inch-wide-chrome-5-light-vanity-bath-light__062e6/,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,2 | 284 | 54 | 311,high
36984,11095.199999999999,,,11095.199999999999,Contract Cost,ea,,,,,25888.80,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,48,low
Shower Handheld Slide Bar,155746BG,,,,,ea,,,,,343.35,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,619 | 591,high
58312.95,17493.885,,,17493.885,,ea,,,,,40819.07,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,51,low
641.45,192.435,,,192.435,Over Allowances,ea,,,,,449.02,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,50,low
Stefan 3-Light Bath Vanity Satin Nickel,210P3,,Idlewood ordered,,Uncategorized,ea,,,,Nickel,63.67,https://www.lampsplus.com/p/stefan-3-light-bath-vanity-satin-nickel__210p3/,,derived,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Extract.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Extract | Raw Records | Sheet1 | Product Master,3 | 43 | 25 | 20 | 23,high
Shower Head,3638BG,,,,,ea,,,,,185.76,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,616 | 588,high
Master Bath Finishes & Trim,41618-CZ,,,,,ea,,,,,173.66,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,239 | 226,high
Master Bath Finishes & Trim,41624-CZ,,,,,ea,,,,,188.14,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,240 | 227,high
Master Bath Finishes & Trim,41642-CZ,,,,,ea,,,,,289.29,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,241 | 228,high
464 SQ FT,464SQFT,,,,,ea,,,,,2448.16,https://www.maslandcarpets.com/products/masland-carpets-in-mesa-bella?variant=40380042510390,,derived,Product_Master_Refined.xlsx,Product Master | Raw Extract,46 | 134,high
Carpet & Padding,464SQFT,,,,,ea,,,,,2583.00,https://www.maslandcarpets.com/products/masland-carpets-in-mesa-bella?variant=40380042510390,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,349 | 334,high
Delta Hand Shower Wall Supply Elbow,50560-CZ,,Ferguson,,,ea,,,,,,,,baseline,,John Daye 39938-CJC,10,medium
Delta 2.5 GPM Hand Shower Package with Touch-Clean® Technology - Limited Lifetime Warranty,57014-CZ,,Ferguson,,,ea,,,,,,,,baseline,,John Daye 39938-CJC,11,medium
20687.5,6206.25,,,6206.25,Additional Work,ea,,,,,14481.25,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,49,low
Master Bath Finishes & Trim,73835-CZ,,,,,ea,,,,,155.80,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,242 | 229,high
Master Bath Finishes & Trim,73850-CZ,,,,,ea,,,,,72.89,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,243 | 230,high
"Happy Floors, Cipriani - 12"" x 24""",7450-E,,,"Happy Floors, Cipriani - 12"" x 24""",Tile,ea,,,,,525.98,https://happy-floors.com/products/happy-floors-cipriani?variant=45938826051738,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,57 | 137 | 52 | 113 | 231,high
Hall Bath Finishes & Trim,74536-CZ,,,,,ea,,,,,100.06,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,257 | 244,high
Hall Bath Finishes & Trim,75150-CZ,,,,,ea,,,,,83.42,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,256 | 243,high
Shower Rod Mounted - brushed Nickel,829C,,Ferguson,Shower Rod Mounted - brushed Nickel,Shower,ea,,,,Nickel,125.65,https://www.fergusonhome.com/gatco-829/s1808424?uid=4294657,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,59 | 84 | 53 | 117 | 88,high
False Schulter Edging 32 Linear Ft = 9 pieces  https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-heigh,A100ABGB,,ProSource,False Schulter Edging 32 Linear Ft = 9 pieces  https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100ABGB?siteName=schluter.com&siteUid=schluter-us A100ABGB ProSource  w/tile  2026-04-14 00:00:00 0.0,Flooring,ea,,,,,0.00,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100ABGB?siteName=schluter.com&siteUid=schluter-us,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,223 | 158,high
Schulter Edging 32 Linear Ft = 9 pieces,A100ABGB,,,,,ea,,,,,,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100ABGB?siteName=schluter.com&siteUid=schluter-us,,derived,Product_Master_Refined.xlsx,Product Master | Raw Extract,61 | 245,high
