name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence,dropReason
36984,11095.199999999999,,,,Contract Cost,ea,,,,,25888.80,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,48,low,low-confidence
,17493.885,,,,,ea,,,,,40819.07,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,51,low,low-confidence
,192.435,,,,Over Allowances,ea,,,,,449.02,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,50,low,low-confidence
Master Bath Finishes & Trim,41618-CZ,,,,,ea,,,,,173.66,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,239 | 226,high,name-finance-rollup
Master Bath Finishes & Trim,41624-CZ,,,,,ea,,,,,188.14,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,240 | 227,high,name-finance-rollup
Master Bath Finishes & Trim,41642-CZ,,,,,ea,,,,,289.29,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,241 | 228,high,name-finance-rollup
,6206.25,,,,Additional Work,ea,,,,,14481.25,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,49,low,low-confidence
Master Bath Finishes & Trim,73835-CZ,,,,,ea,,,,,155.80,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,242 | 229,high,name-finance-rollup
Master Bath Finishes & Trim,73850-CZ,,,,,ea,,,,,72.89,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,243 | 230,high,name-finance-rollup
Hall Bath Finishes & Trim,74536-CZ,,,,,ea,,,,,100.06,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,257 | 244,high,name-finance-rollup
Hall Bath Finishes & Trim,75150-CZ,,,,,ea,,,,,83.42,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,256 | 243,high,name-finance-rollup
Mirror,ANDYSTAR24X32OVALBRUSHEDNICKEL,,Amazon,Andy Star 24x32 Oval Brushed Nickel,Powder Room,ea,,,,,205.66,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,18,medium,generic-name
Chandelier,BALLSTONROCHESTER5-LIGHTGOLD,,Idlewood,Ballston Rochester 5-Light Gold,Foyer,ea,,,,,672.92,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,14 | 15,medium,generic-name
Panasonic 100 CFM Sone Ceiling Mounted HVI Certified Exhaust Fan,BLMC2432,,,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,,ea,,,,,92.00,,,baseline,,Frequent Material Model Price,5,low,low-confidence
Range Hood,BROANGLA1303SS,,Amazon,Broan GLA1303SS,Kitchen,ea,,,,,242.48,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,12,medium,generic-name
Hall Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,8500.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,244 | 231,high,name-finance-rollup
Master Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,2000.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,218 | 205,high,name-finance-rollup
Add On Toilet Toto Toilet Add-On TCST,CST642CEFGAT4001,,,**Add On Toilet Toto Toilet Add-On TCST642CEFGAT4001 1432.5629999999999 Ferguson,,ea,,,,,1432.56,https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624,,derived,compiled_products_db.xlsx,Sheet1,219,high,desc-finance-rollup
,DR10000UNWSHF,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,221 | 208,high,insufficient-identity-signal
Cabinet Handles,"ELARA3""PULL/BACKPLATEOPTIONS",,Hardware Resources,"Elara 3"" Pull / Backplate Options",Kitchen (on hold till after cleaning),ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,6,medium,insufficient-identity-signal
Panasonic 100 CFM Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,FV-0510VSL1,,,Panasonic 100 CFM 0.5 Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,,ea,,,,,155.25,,,baseline,,Frequent Material Model Price,7,low,low-confidence
