key,field,existing,incoming,existing_source,incoming_source
"('mm', 'delta', '551-CZ-DST')",name,Bath Faucet,Bath Sink Faucet,John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'panasonic', 'FV-0511VKSL3')",name,Water Closet Exhaust Fan w/light,Exhaust Fan with Light,John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'shiloh', 'CUSTOMMIRROR')",name,Master Mirror,Hall Mirror,John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'glass for mirror', 'CUSTOMMIRROR')",name,Master Mirror,Hall Mirror,John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'naples 160mm', 'SATINBRONZE')",name,Master Vanity Pulls (8),Hall Vanity Pulls (8),John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'kohler', 'K-20000-0')",name,Master Sink,Hall Sink,John Daye 39938-CJC,John Daye 39938-CJC
"('mm', 'dreamline', 'DLT-1130601')",name,"DreamLine SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",Shower Base Left Drain 30x60,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'panasonic', 'FV-0510VS1')",name,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,(1) Bath Exhusted Fan,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'panasonic', 'FV-0510VS1')",name,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,Exhaust Fan,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Exhaust Fan,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Lighted Exhaust Fan,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'panasonic', 'FV-0510VSL1')",name,(1) Bath Exhusted Fan  w/Light,Whisper Exhaust Fan with Light,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,(2) Sinks Undermount,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,"Kohler Caxton Rectangle 20-1/4"" Undermount Bathroom Sink with Overflow
Model: K-20000-0",Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,Sink,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet -,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-22022')",name,Faucet-Kohler Tempered 1.2 GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Faucet,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-2209')",name,"17"" Oval Undermount Bathroom Sink","Kohler Caxton 17"" Oval Undermount Bathroom Sink with Overflow
Model: K-2209-0",Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-2210')",name,(2) Kohler Caxton Oval Undermount Bathroom Sink with Overflow,Sink,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-26109')",name,Bath Tub right Drain,Kohler Tub - Entity,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-26801')",name,Toilet Seat -,Toilet Seat Impro Elongated,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-26802')",name,Toilet Seat Impro Round,Toilet  Seat - Round,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet Kohler Ciminron 1.6 Elongated Chair height,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet Seat,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-31620')",name,Toilet - elongated Chair Height,Toilet Tank,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-706015')",name,"Kohler Levity 74"" High x 59-5/8"" Wide Bypass Frameless Shower Door with Clear Glass",Shower Door -,Product Library | Raw Extract,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-8304')",name,Shower Fixures / Valve,Shower Valve,Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-R27241')",name,"Grab Bars 16""  Vertical at Entrance of Shower","Kohler Grab Bar 16""",Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-R27242')",name,"Grab Bar 24"" Hortizial undeer window","Kohler Grab Bar 24""",Product Library,Product_Master_Enhanced.xlsx::Product Library
"('mm', 'kohler', 'K-20000')",name,(2) Sinks Rect,"Kohler Caxton Rectangle 20-1/4"" Undermount Bathroom Sink with Overflow
Model: K-20000-0",Product Library,Product_Master_Enhanced.xlsx::Raw Records
