workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
Product_Master_Audit_Pass.xlsx,Product_Occurrences,2,2025-10-24 00:00:00,2025-10-24 00:00:00,,,,,92,https://www.fergusonhome.com/panasonic-fv-0510vs1/s1286588?uid=3162516,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,6,Material Costs,102.83,,,,,102.83,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,7,Sub - Addon,2400,,,,,2400,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,12,2300,2300,,,,,2300,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,13,False,PERMIT,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,14,False,HTTPS,,,,,100.13300000000001,https://www.fergusonhome.com/moen-t2902nh/s1434096?uid=3882442,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,17,Add-ON,HTTPS,,,,,425.08400000000006,https://www.fergusonhome.com/kohler-k-31640/s1808951?uid=4283712,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,19,False,PUREWASH,,,,,,https://www.homedepot.com/p/KOHLER-Purewash-E580-Round-Electric-Bidet-Seat-in-White-32331-0/325621229?fp=oai&utm_source=chatgpt.com&oppcref=c455ae81-d747-4b1c-a24f-a8766ddb7add#see-more-details,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,23,False,1479.24,,,,,1479.24,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,30,Bath Shower Enclose,HTTPS,,,,,877.1400000000001,https://www.fergusonhome.com/kohler-k-706015-l/s847083?uid=2180321,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,31,"DreamLine SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",HTTPS,,,,,330.759,https://www.fergusonhome.com/dreamline-dlt-1130601/s822259?uid=2121664,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,32,DreamLine SlimLine Shower Drain - Brushed Nickel,HTTPS,,,,,75.9,https://www.fergusonhome.com/dreamline-dn09x02r/s2086405?uid=5094657&_br_psugg_q=dreamline+shower+drain,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,33,Electrical,HTTPS,,,,,63.67,https://www.lampsplus.com/p/stefan-3-light-bath-vanity-satin-nickel__210p3/,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,34,False,PANASONIC,,,,,101.88200000000002,https://www.fergusonhome.com/panasonic-fv-0510vs1/s1286588?uid=3162516,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,36,False,42.658,,,,,42.658,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,37,Estimated Ferguson bath fixtures and Finishes,6252.620000000001,,,,,6252.620000000001,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,38,Kitchen (on hold till after cleaning),650,,,,,650,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,39,Kitchen,7240,,,,,7240,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,40,Kitchen,KOHLER,,,,,600,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,41,Kitchen,RUVATI,,,,,600,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,42,Kitchen,600,,,,,600,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,43,Kitchen,BROAN,,,,,242.48,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,44,Foyer,672.923,,,,,672.923,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,45,Foyer by loft added back in 6/10 by MRS,672.92,,,,,672.92,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,46,Powder Room,1250,,,,,1250,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,47,Powder Room,205.66,,,,,205.66,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,48,Powder Room,KOHLER,,,,,333.278,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,50,Powder Room,626.08,,,,,626.08,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,51,Powder Room,SATIN,,,,,38.07,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,54,10940,10940,,,,,10940,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,55,-10940,-10940,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,56,641.450200000003,641.450200000003,,,,,641.450200000003,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,57,#1 Living Rom Cathedral Ceiling Lights,3671,,,,,3671,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,58,#2 Powder Room Remove paper paint Walls Ceiling,1653,,,,,1653,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,59,#3 Paint Lower Level Ceiling Kitchen Family Dining back hall,1713,,,,,1713,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,60,#4 Add Recessed Lights 2 Pendants  Kitchen,3200,,,,,3200,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,61,#5 Remove Border paper Prime Paint walls & Ceiling,1653,,,,,1653,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,62,#6 Powder Room,3977,,,,,3977,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,63,#7 Full Backsplash Quartz,3250,,,,,3250,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,64,#8 Dining Room and Island Electric Moved,1067,,,,,1067,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,65,#9 Hood Vent Exterior Screen Damper,503.5,,,,,503.5,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,68,Over Allowances,641.45,,,,,641.45,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,69,58312.95,58312.95,,,,,58312.95,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,70,Original Deposit Paid,11095.2,,,,,11095.2,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,73,Bathroom Plumbing,HTTPS,,,,,584.4630000000001,https://www.fergusonhome.com/kohler-k-t99763-4g/s1682561?uid=4326090,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,74,matte Black,HTTPS,,,,,227.83200000000002,https://www.fergusonhome.com/kohler-k-11748-ks/s558217?uid=1356175,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,79,False,KOHLER,,,,,119.79000000000002,https://www.fergusonhome.com/kohler-k-20000/s1240319?uid=2965270,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,81,False,SHOWER,,,,,1223.413,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,82,False,198.528,,,,,198.528,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,83,False,100,,,,,100,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,84,False,EST,,,,,420,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,86,False,2025-12-11 00:00:00,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,87,False,887.7,,,,,887.7,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,88,Shiolh,2026-04-26 00:00:00,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,89,False,2026-04-01 00:00:00,,,,,15,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,93,"24""Grab Bar",HTTPS,,,,,145.145,https://www.fergusonhome.com/kohler-k-23295/s1720990?uid=4118429,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,94,Bath Shower Enclose,LOUS,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,95,Floor Heat,LOUS,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,96,Customer Selected Estimated,6872.620000000001,,,,,6872.620000000001,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,97,Lous Labor Estimated,4797.56,,,,,4797.56,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,98,Lous Material Estimated,1550,,,,,1550,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,99,Warmly Yours Flooring,443.68,,,,,443.68,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,100,Lous' Sub Labor,3990,,,,,3990,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,101,Dave paid Direct to LJA and ProSource,2324.641,,,,,0,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,102,Kitchen,ALLOWANCE,,,,,,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,103,Sink - Kraus,HTTPS,,,,,450,https://www.fergusonhome.com/kraus-ka1ud33/s1785804?uid=4216807,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,104,Faucet - Moen,HTTPS,,,,,400,https://www.fergusonhome.com/moen-7260/s1783606?uid=4244185,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,105,Cabinet Hardware Fontana 23 Handles 9 Knobs,300,,,,,300,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,106,ALL Quartz,14260,,,,,14260,,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,107,Primary Bath Vanity Carrara Breve,2400,,,,,2400,https://www.msisurfaces.com/site-search/?key=carrara+breve,,,,0
Product_Master_Audit_Pass.xlsx,Product_Occurrences,108,"Shower :Pieces knee wall,shaving Shelf,Niche, Shower Curb",2026-04-02 00:00:00,,,,,,https://www.msisurfaces.com/site-search/?key=carrara+breve,,,,0
