manufacturer,manufacturerNorm,modelNumber,modelStem,name,description,category,unit,tier,collection,color,finish,productUrl,imageUrl,confidence,sourceWorkbook,sourceSheet,sourceRow,rowsInKey,distinctNamesInKey,distinctVendorsInKey,distinctColorFinishInKey
Broan,broan,GLA1303SS,GLA1303SS,Kitchen Range Hood Final,Kitchen Range Hood 242.48 Final,,ea,,,,,,,high,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,29,1,1,1,0
Casa Diva Home,casa diva home,CD-K030PRO,CDK030PRO,Smart Toilet,,Master Bathroom Plumbing,ea,,,,,,,high,,John Daye 39938-CJC,6 | 51,1,1,1,0
Delta,delta,41618-CZ,41618CZ,Grab Bar 18 (3),,Master Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,43,1,1,1,0
Delta,delta,41624-CZ,41624CZ,Grab Bar 24 (1),,Master Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,44,1,1,1,0
Delta,delta,41642-CZ,41642CZ,Grab Bar 42,,Master Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,45,1,1,1,0
Delta,delta,41812-SS,41812SS,"Grab Bar 12""",,,ea,,,,,https://www.homedepot.com/p/Delta-Contemporary-12-in-x-1-1-4-in-Concealed-Screw-ADA-Compliant-Bathroom-Shower-Grab-Bar-in-Brilliance-Stainless-Steel-41812-SS/205857180,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,43 | 260,1,1,0,0
Delta,delta,41818-SS,41818SS,"Grab Bar 18""",,,ea,,,,,https://www.homedepot.com/p/Delta-Contemporary-18-in-x-1-1-4-in-Concealed-Screw-ADA-Compliant-Bathroom-Shower-Grab-Bar-in-Brilliance-Stainless-Steel-41818-SS/205857298,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,44 | 261,1,1,1,0
Delta,delta,551-CZ-DST,551CZDST,Bath Faucet,,Master Bathroom Plumbing,ea,,,,,,,high,,John Daye 39938-CJC,7 | 52,1,1,1,0
Delta,delta,73835-CZ,73835CZ,Towel Hooks (4),,Master Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,46,1,1,1,0
Delta,delta,73850-CZ,73850CZ,Toilet Paper Holder,,Master Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,47,1,1,1,0
Delta,delta,74536-CZ,74536CZ,Hooks (2),,Hall Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,71,1,1,1,0
Delta,delta,75150-CZ,75150CZ,Toilet Paper Holder,,Hall Bath Finishes & Trim,ea,,,,,,,high,,John Daye 39938-CJC,70,1,1,1,0
Delta,delta,B23605,B23605,Classic Tub 60 x 30,Classic Tub 60 x 30 834.07 -6030L-WH 1.0,Plumbing,ea,,,white,white,https://www.homedepot.com/p/Delta-Classic-500-60-in-x-30-in-Alcove-Deep-Soaking-Bathtub-with-Left-Drain-in-High-Gloss-White-B23605-6030L-WH/321016480,,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,305 | 242,1,1,1,1
Delta,delta,B932,B932,Lorelai 32” Workstation Kitchen Sink Undermount 16 Gauge Stainless Steel Single Bowl with WorkFlow Ledge and Accessories,,Sink,ea,,,stainless,Stainless Steel,https://www.fergusonhome.com/delta-95b932-32s/s1815605?uid=4301493,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,66 | 69 | 58 | 122 | 63 | 65 | 61,1,1,1,1
