reason,name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceWorkbook,sourceSheet,sourceRow,confidence
missing_manufacturer,"Vanity Lights Bryant 40 1/2"" wide 5-light & Blubs",#062E6,,,,Lighting,ea,,,,,374.11,https://www.lampsplus.com/p/bryant-40-and-one-half-inch-wide-chrome-5-light-vanity-bath-light__062e6/,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,2 | 284 | 54 | 311,high
missing_manufacturer,Shower Handheld Slide Bar,155746BG,,,,,ea,,,,,343.35,,,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,619 | 591,high
missing_manufacturer,Stefan 3-Light Bath Vanity Satin Nickel,210P3,,Idlewood ordered,,Uncategorized,ea,,,,Nickel,63.67,https://www.lampsplus.com/p/stefan-3-light-bath-vanity-satin-nickel__210p3/,,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Extract.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Extract | Raw Records | Sheet1 | Product Master,3 | 43 | 25 | 20 | 23,high
missing_manufacturer,Shower Head,3638BG,,,,,ea,,,,,185.76,,,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,616 | 588,high
missing_manufacturer,464 SQ FT,464SQFT,,,,,sqft,,,,,2448.16,https://www.maslandcarpets.com/products/masland-carpets-in-mesa-bella?variant=40380042510390,,Product_Master_Refined.xlsx,Product Master | Raw Extract,46 | 134,high
missing_manufacturer,Carpet & Padding,464SQFT,,,,,sqft,,,,,2583.00,https://www.maslandcarpets.com/products/masland-carpets-in-mesa-bella?variant=40380042510390,,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,349 | 334,high
missing_manufacturer,Delta Hand Shower Wall Supply Elbow,50560-CZ,,Ferguson,,,ea,,,,,,,,,John Daye 39938-CJC,10,medium
missing_manufacturer,Delta GPM Hand Shower Package with Touch-Clean® Technology - Limited Lifetime Warranty,57014-CZ,,Ferguson,,,ea,,,,,,,,,John Daye 39938-CJC,11,medium
missing_manufacturer,"Happy Floors, Cipriani - 12"" x 24""",7450-E,,,,Tile,ea,,,,,525.98,https://happy-floors.com/products/happy-floors-cipriani?variant=45938826051738,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,57 | 137 | 52 | 113 | 231,high
missing_manufacturer,Shower Rod Mounted - brushed Nickel,829C,,Ferguson,,Shower,ea,,,,Nickel,125.65,https://www.fergusonhome.com/gatco-829/s1808424?uid=4294657,,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,59 | 84 | 53 | 117 | 88,high
missing_manufacturer,Schulter Edging 32 Linear Ft = 9 pieces,A100ABGB,,ProSource,Schulter Edging 32 Linear Ft = 9 pieces w/tile,Flooring,lnft,,,,,0.00,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100ABGB?siteName=schluter.com&siteUid=schluter-us,,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx | Product_Master_Refined.xlsx,Sheet1 | Product Master | Raw Extract,223 | 158 | 61 | 245,high
