manufacturerNorm,modelStem,baseModelNumber,name,color,finish,variationModelNumber,rowsInVariationKey,confidence,sourceWorkbook,sourceSheet,sourceRow
delta,B23605,B23605,Classic Tub 60 x 30,white,white,,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,305 | 242
delta,B932,B932,Lorelai 32” Workstation Kitchen Sink Undermount 16 Gauge Stainless Steel Single Bowl with WorkFlow Ledge and Accessories,stainless,Stainless Steel,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,66 | 69 | 58 | 122 | 63 | 65 | 61
dreamline,DN09X02R04,DN09X02R04,SlimLine Shower Drain - Brushed Nickel,,Nickel,,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | compiled_products_db.xlsx,Product Library | Raw Extract | Raw Records | Sheet1,8 | 40 | 94 | 19 | 24
dreamline,DN09X02R09,DN09X02R09,Shower Drain Matte Black,,Matte Black,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx,Product Library | Raw Records | Product Master | Product Occurrences | Sheet1,95 | 114 | 164 | 192 | 111
dreamline,SHDR6360760,SHDR-6360760,"Shower Door 60"" Clear Glass Matte Black",,Matte Black,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,238 | 153 | 188 | 298 | 251
kohler,E580,E580,Purewash Round Electric Bidet Seat in White,white,white,,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,12 | 15
kohler,K11748,K-11748,Shower Valve,matte black,matte black,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,118 | 24 | 83 | 33 | 34
kohler,K706015,K-706015,"Levity 74"" High x 59 /8"" Wide Bypass Frameless Shower Door with Clear Glass",black,black,,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,21 | 38 | 162 | 163 | 17 | 115 | 117 | 118 | 224 | 193 | 22 | 112 | 23 | 91
kohler,K737,K-737,Shower Diverter Valve,chrome,chrome,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,165 | 205 | 120 | 188 | 140
kohler,KR27240,K-R27240,Grab Bar,,nickel,,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,173 | 199 | 129 | 182 | 137
