manufacturerNorm,modelStem,modelNumber,name,vendor,vendorNorm,vendorCost,vendorSku,isPrimarySuggested,distinctPricesForVendorKey,priceMin,priceMax,rowsInVendorKey,confidence,sourceWorkbook,sourceSheet,sourceRow
broan,GLA1303SS,GLA1303SS,Kitchen Range Hood Final,Amazon,amazon,0.00,GLA1303SS,true,1,0.0,0.0,1,high,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,29
casa diva home,CDK030PRO,CD-K030PRO,Smart Toilet,Casa Diva Home,casa diva home,1221.79,CD-K030PRO,true,1,1221.79,1221.79,1,high,,John Daye 39938-CJC,6 | 51
delta,41618CZ,41618-CZ,Grab Bar 18 (3),Ferguson Home,ferguson home,173.66,41618-CZ,true,1,173.66,173.66,1,high,,John Daye 39938-CJC,43
delta,41624CZ,41624-CZ,Grab Bar 24 (1),Ferguson Home,ferguson home,188.14,41624-CZ,true,1,188.14,188.14,1,high,,John Daye 39938-CJC,44
delta,41642CZ,41642-CZ,Grab Bar 42,Ferguson Home,ferguson home,289.29,41642-CZ,true,1,289.29,289.29,1,high,,John Daye 39938-CJC,45
delta,41818SS,41818-SS,"Grab Bar 18""",Home Depot,home depot,94.06,41818-SS,true,1,94.06,94.06,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,44 | 261
delta,551CZDST,551-CZ-DST,Bath Faucet,Ferguson Home,ferguson home,436.08,551-CZ-DST,true,1,436.08,436.08,1,high,,John Daye 39938-CJC,7 | 52
delta,73835CZ,73835-CZ,Towel Hooks (4),Ferguson Home,ferguson home,155.80,73835-CZ,true,1,155.8,155.8,1,high,,John Daye 39938-CJC,46
delta,73850CZ,73850-CZ,Toilet Paper Holder,Ferguson Home,ferguson home,72.89,73850-CZ,true,1,72.89,72.89,1,high,,John Daye 39938-CJC,47
delta,74536CZ,74536-CZ,Hooks (2),Ferguson Home,ferguson home,100.06,74536-CZ,true,1,100.06,100.06,1,high,,John Daye 39938-CJC,71
delta,75150CZ,75150-CZ,Toilet Paper Holder,Ferguson Home,ferguson home,83.42,75150-CZ,true,1,83.42,83.42,1,high,,John Daye 39938-CJC,70
delta,B23605,B23605,Classic Tub 60 x 30,Home Depot,home depot,834.07,B23605,true,1,834.07,834.07,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,305 | 242
delta,B932,B932,Lorelai 32” Workstation Kitchen Sink Undermount 16 Gauge Stainless Steel Single Bowl with WorkFlow Ledge and Accessories,Ferguson Home,ferguson home,757.74,B932,true,1,757.74,757.74,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,66 | 69 | 58 | 122 | 63 | 65 | 61
delta,DSSLAHARA1701CZ,DSS-LAHARA-1701CZ,Shower System,Ferguson Home,ferguson home,1294.08,DSS-LAHARA-1701CZ,true,1,1294.08,1294.08,1,high,,John Daye 39938-CJC,8
delta,DT14438,DT14438,Shower Head Handle Trim & Tub Spout,Ferguson,ferguson,202.63,DT14438,true,1,202.63,202.63,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,96 | 275 | 72 | 168 | 301 | 247 | 175
delta,DWQ4001002,DWQ4001002,GPM Reverse Osmosis Contemporary Beverage Faucet - Less Filter,Ferguson,ferguson,1.50,DWQ4001002,true,1,1.5,1.5,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,98 | 71 | 74 | 170 | 65 | 67 | 62
delta,R10000,R10000,"Universal Mixing Rough-In Valve with Service Stops, 1/2"" NPT Male thread with 1/2"" C.W.T Female Sweat - Shower Only, No Tub Outlet",2026-06-09 00:00:00,2026-06-09 00:00:00,77.79,R10000,true,1,77.79,77.79,1,high,Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Product Occurrences | Sheet1,264 | 114 | 91 | 78
delta,R11000,R11000,Diverter Rough-In Valve for 3 Function and 6 Function Diverter Trims Model: -06,Ferguson,ferguson,117.29,R11000,true,1,117.29,117.29,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,90 | 77
